"leases","price","likes","year_release","period"
4,1.99,3,2003,364
5,1.99,1,2003,371
4,1.99,2,2003,378
11,1.99,1,2003,384
7,2.99,2,2007,252
7,2.99,1,2007,259
11,2.99,1,2007,266
3,2.99,0,2007,273
13,2.99,2,2006,280
11,2.99,2,2006,287
37,2.99,14,2006,294
11,2.99,0,2006,301
28,2.99,5,2006,308
34,2.99,10,2006,315
26,2.99,9,2006,322
18,2.99,13,2006,329
10,2.99,3,2006,336
6,2.99,3,2006,343
5,2.99,3,2006,350
8,2.99,0,2006,357
11,2.99,11,2009,224
6,2.99,21,2009,231
5,2.99,8,2009,238
10,2.99,12,2009,245
25,1.99,4,2007,224
10,1.99,1,2007,231
12,1.99,1,2007,238
8,1.99,0,2007,245
4,2.99,1,2008,364
2,2.99,2,2008,371
3,2.99,0,2008,378
2,2.99,1,2008,384
39,1.99,2,2001,280
209,1.99,45,2001,287
182,1.99,35,2001,294
145,1.99,38,2001,301
150,1.99,43,2001,308
47,1.99,5,2001,315
45,1.99,7,2001,322
26,1.99,3,2001,329
20,1.99,5,2001,336
29,1.99,7,2001,343
35,1.99,15,2001,350
23,2.49,5,2001,357
0,1.49,0,2006,364
0,1.49,0,2006,371
0,1.49,0,2006,378
2,1.49,1,2006,384
92,1.99,7,2009,280
54,1.99,2,2009,287
40,1.99,5,2009,294
54,1.99,1,2009,301
39,1.99,3,2009,308
45,1.99,5,2009,315
52,1.99,1,2009,322
44,1.99,2,2009,329
102,1.99,18,2010,224
105,1.99,11,2010,231
112,1.99,11,2010,238
84,1.99,12,2010,245
13,1.99,0,2005,308
11,1.99,2,2005,315
71,1.99,20,2005,322
43,1.99,11,2005,329
107,3.99,14,2012,336
59,3.99,8,2012,343
105,3.99,15,2012,350
113,3.99,18,2012,357
64,2.99,29,2011,336
19,2.99,3,2011,343
7,2.99,2,2011,350
7,2.99,4,2011,357
17,1.99,2,2008,252
10,1.99,0,2008,259
9,1.99,1,2008,266
7,1.99,2,2008,273
8,2.99,0,1992,224
7,2.99,0,1992,231
3,2.99,1,1992,238
4,2.99,0,1992,245
72,3.99,13,2012,252
63,3.99,7,2012,259
83,3.99,10,2012,266
67,3.99,7,2012,273
43,3.99,14,2012,224
35,3.99,17,2012,231
24,3.99,12,2012,238
18,3.99,10,2012,245
49,2.99,6,2006,224
47,2.99,1,2006,231
28,2.99,0,2006,238
30,2.99,6,2006,245
0,2.99,0,2010,364
0,2.99,1,2010,371
0,2.99,0,2010,378
0,2.99,0,2010,384
5,2.99,2,2009,224
1,2.99,0,2009,231
1,2.99,1,2009,238
2,2.99,0,2009,245
113,3.99,21,2011,364
109,3.99,26,2011,371
94,3.99,32,2011,378
113,3.99,33,2011,384
0,2.99,0,2007,364
36,2.99,14,2007,371
30,1.99,8,2005,224
20,1.99,1,2005,231
10,1.99,2,2005,238
11,1.99,1,2005,245
21,1.99,3,2005,280
21,1.99,3,2005,287
7,1.99,2,2005,294
10,1.99,4,2005,301
30,1.49,12,2001,252
3,1.49,1,2001,259
1,1.49,1,2001,266
0,1.49,0,2001,273
36,1.99,2,2005,280
23,1.99,0,2005,287
33,1.99,1,2005,294
17,1.99,1,2005,301
101,3.99,12,2012,224
84,3.99,14,2012,231
64,3.99,14,2012,238
82,3.99,7,2012,245
69,3.99,20,2012,252
71,3.99,15,2012,259
83,3.99,12,2012,266
13,3.99,1,2012,273
15,1.49,1,2005,252
13,1.49,0,2005,259
16,1.49,0,2005,266
8,1.49,1,2005,273
6,1.99,1,2002,308
8,1.99,2,2002,315
13,1.99,2,2002,322
4,1.99,3,2002,329
119,3.99,31,2012,280
121,3.99,28,2012,287
194,3.99,59,2012,294
123,3.99,43,2012,301
5,3.99,0,2011,364
3,3.99,0,2011,371
2,3.99,0,2011,378
2,3.99,0,2011,384
2,1.49,0,2006,336
1,1.49,0,2006,343
0,1.49,0,2006,350
0,1.49,0,2006,357
77,3.99,35,2012,371
95,3.99,56,2012,378
137,3.99,98,2012,384
0,3.99,0,0,364
0,3.99,0,0,371
1,3.99,0,0,378
0,3.99,0,0,384
1,1.49,0,2006,308
0,1.49,0,2006,315
0,1.49,0,2006,322
0,1.49,0,2006,329
2,2.99,0,2010,364
1,2.99,0,2010,371
6,2.99,0,2010,378
5,2.99,2,2010,384
10,2.99,0,2010,364
24,2.99,7,2010,371
11,2.99,3,2010,378
11,2.99,0,2010,384
5,3.99,1,2010,224
0,3.99,0,2010,231
0,3.99,0,2010,238
0,3.99,0,2010,245
49,3.99,32,2011,224
39,3.99,35,2011,231
60,3.99,34,2011,238
66,3.99,34,2011,245
10,2.99,2,2000,224
11,2.99,2,2000,231
4,2.99,0,2000,238
2,2.99,1,2000,245
9,2.99,3,1993,224
9,2.99,2,1993,231
12,2.99,3,1993,238
5,2.99,2,1993,245
63,3.99,19,2011,224
70,3.99,21,2011,231
58,3.99,13,2011,238
78,3.99,14,2011,245
86,3.99,16,2011,252
105,3.99,21,2011,259
135,3.99,24,2011,266
113,3.99,14,2011,273
109,3.99,21,2011,280
91,3.99,22,2011,287
62,3.99,17,2011,294
65,3.99,11,2011,301
48,1.99,23,1982,224
52,1.99,16,1982,231
36,1.99,16,1982,238
34,1.99,9,1982,245
12,1.99,4,2007,308
12,1.99,4,2007,315
10,1.99,2,2007,322
13,1.99,2,2007,329
14,3.99,1,2011,280
13,3.99,2,2011,287
13,3.99,2,2011,294
12,3.99,1,2011,301
5,3.99,0,2011,308
6,3.99,2,2011,315
7,3.99,1,2011,322
10,3.99,1,2011,329
8,1.49,2,2005,280
8,1.49,0,2005,287
5,1.49,0,2005,294
7,1.49,0,2005,301
3,1.49,1,2005,336
