"education","south","female","workexp","unionmember","wages","age","ethnicity","occupation","sector","married"
8,0,1,21,0,5.09999990463257,35,"Hispanic","Other","Manufacturing",1
9,0,1,42,0,4.94999980926514,57,"White","Other","Manufacturing",1
12,0,0,1,0,6.67000007629395,19,"White","Other","Manufacturing",0
12,0,0,4,0,4,22,"White","Other","Other",0
12,0,0,17,0,7.5,35,"White","Other","Other",1
13,0,0,9,1,13.0699996948242,28,"White","Other","Other",0
10,1,0,27,0,4.44999980926514,43,"White","Other","Other",0
12,0,0,9,0,19.4699993133545,27,"White","Other","Other",0
16,0,0,11,0,13.2799997329712,33,"White","Other","Manufacturing",1
12,0,0,9,0,8.75,27,"White","Other","Other",0
12,0,0,17,1,11.3500003814697,35,"White","Other","Other",1
12,0,0,19,1,11.5,37,"White","Other","Manufacturing",0
8,1,0,27,0,6.5,41,"White","Other","Other",1
9,1,0,30,1,6.25,45,"White","Other","Other",0
9,1,0,29,0,19.9799995422363,44,"White","Other","Other",1
12,0,0,37,0,7.30000019073486,55,"White","Other","Construction",1
7,1,0,44,0,8,57,"White","Other","Other",1
12,0,0,26,1,22.2000007629395,44,"White","Other","Manufacturing",1
11,0,0,16,0,3.65000009536743,33,"White","Other","Other",0
12,0,0,33,0,20.5499992370605,51,"White","Other","Other",1
12,0,1,16,1,5.71000003814697,34,"White","Other","Manufacturing",1
7,0,0,42,1,7,55,"Other","Other","Manufacturing",1
12,0,0,9,0,3.75,27,"White","Other","Other",0
11,1,0,14,0,4.5,31,"Other","Other","Other",1
12,0,0,23,0,9.5600004196167,41,"White","Other","Other",1
6,1,0,45,0,5.75,57,"White","Other","Manufacturing",1
12,0,0,8,0,9.35999965667725,26,"White","Other","Manufacturing",1
10,0,0,30,0,6.5,46,"White","Other","Other",1
12,0,1,8,0,3.34999990463257,26,"White","Other","Manufacturing",1
12,0,0,8,0,4.75,26,"White","Other","Other",1
14,0,0,13,0,8.89999961853027,33,"White","Other","Other",0
12,1,1,46,0,4,64,"White","Other","Other",0
8,0,0,19,0,4.69999980926514,33,"White","Other","Other",1
17,1,1,1,0,5,24,"White","Other","Other",0
12,0,0,19,0,9.25,37,"White","Other","Manufacturing",0
12,0,0,36,0,10.6700000762939,54,"Other","Other","Other",0
12,1,0,20,0,7.6100001335144,38,"Other","Other","Construction",1
12,0,0,35,1,10,53,"Other","Other","Construction",1
12,0,0,3,0,7.5,21,"White","Other","Other",0
14,1,0,10,0,12.1999998092651,30,"White","Other","Manufacturing",1
12,0,0,0,0,3.34999990463257,18,"White","Other","Other",0
14,1,0,14,1,11,34,"White","Other","Manufacturing",1
12,0,0,14,0,12,32,"White","Other","Manufacturing",1
9,0,1,16,0,4.84999990463257,31,"White","Other","Manufacturing",1
13,1,0,8,0,4.30000019073486,27,"White","Other","Construction",0
7,1,1,15,0,6,28,"White","Other","Manufacturing",1
16,0,0,12,0,15,34,"White","Other","Manufacturing",1
10,1,0,13,0,4.84999990463257,29,"White","Other","Other",0
8,0,0,33,1,9,47,"White","Other","Other",1
12,0,0,9,0,6.3600001335144,27,"White","Other","Manufacturing",1
12,0,0,7,0,9.14999961853027,25,"White","Other","Other",1
16,0,0,13,1,11,35,"White","Other","Manufacturing",1
12,0,1,7,0,4.5,25,"White","Other","Manufacturing",1
12,0,1,16,0,4.80000019073486,34,"White","Other","Manufacturing",1
13,0,0,0,0,4,19,"White","Other","Other",0
12,0,1,11,0,5.5,29,"White","Other","Manufacturing",0
13,0,0,17,0,8.39999961853027,36,"White","Other","Manufacturing",0
10,0,0,13,0,6.75,29,"White","Other","Manufacturing",1
12,0,0,22,1,10,40,"Other","Other","Manufacturing",0
12,0,1,28,0,5,46,"White","Other","Manufacturing",1
11,0,0,17,0,6.5,34,"White","Other","Other",0
12,0,0,24,1,10.75,42,"White","Other","Construction",1
3,1,0,55,0,7,64,"Hispanic","Other","Manufacturing",1
12,1,0,3,0,11.4300003051758,21,"White","Other","Construction",0
12,0,0,6,1,4,24,"Other","Other","Manufacturing",0
10,0,0,27,0,9,43,"White","Other","Construction",1
12,1,0,19,1,13,37,"Other","Other","Manufacturing",1
12,0,0,19,1,12.2200002670288,37,"White","Other","Construction",1
12,0,1,38,0,6.28000020980835,56,"White","Other","Manufacturing",1
10,1,0,41,1,6.75,57,"Other","Other","Manufacturing",1
11,1,0,3,0,3.34999990463257,20,"Other","Other","Manufacturing",0
14,0,0,20,1,16,40,"White","Other","Other",1
10,0,0,15,0,5.25,31,"White","Other","Other",1
8,1,0,8,0,3.5,22,"Hispanic","Other","Manufacturing",1
8,1,1,39,0,4.21999979019165,53,"White","Other","Manufacturing",1
6,0,1,43,1,3,55,"Hispanic","Other","Manufacturing",1
11,1,1,25,1,4,42,"White","Other","Manufacturing",1
12,0,0,11,1,10,29,"White","Other","Other",1
12,0,0,12,0,5,30,"Other","Other","Other",1
12,1,0,35,1,16,53,"White","Other","Manufacturing",1
14,0,0,14,0,13.9799995422363,34,"White","Other","Other",0
12,0,0,16,1,13.2600002288818,34,"White","Other","Other",1
